institution,date_added,decision,decision_date,decision_day,program,degree,gpa,gre_verbal,gre_quant,gre_awa
University Of Florida,10 Sep 2019,Rejected,2019-03-08,Friday,English,PhD,3.9,168,158,6
Florida State University (FSU),10 Sep 2019,Rejected,2019-02-28,Thursday,English (Rhetoric & Composition),PhD,3.9,168,158,6
Arizona State University,10 Sep 2019,Rejected,2019-03-01,Friday,"English (Writing, Rhetoric, And Literacies)",PhD,3.9,168,158,6
University Of Arizona,10 Sep 2019,Rejected,2019-02-15,Friday,"Rhetoric, Composition, And Teaching Of English",PhD,3.9,168,158,6
Georgetown University,15 May 2019,Accepted,2019-05-14,Tuesday,English,Masters,NA,NA,NA,NA
University Of Arizona,13 May 2019,Rejected,2019-05-13,Monday,English,PhD,NA,NA,NA,NA
George Washington University,24 Apr 2019,Accepted,2019-04-25,Thursday,English,Masters,3.75,162,153,5
George Washington University (GWU),24 Apr 2019,Accepted,2019-04-15,Monday,English,PhD,NA,NA,NA,NA
Columbia University,24 Apr 2019,Rejected,2019-04-24,Wednesday,English,Masters,NA,NA,NA,NA
Columbia University (GSAS),24 Apr 2019,Rejected,2019-04-24,Wednesday,English,Masters,NA,NA,NA,NA
Boston University,23 Apr 2019,Accepted,2019-04-22,Monday,English,Masters,3.75,162,153,5
University Of Arizona,22 Apr 2019,Accepted,2019-04-10,Wednesday,English Literature,PhD,3.9,158,0,5
Ohio University,20 Apr 2019,Accepted,2019-04-16,Tuesday,English/Creative Writing,PhD,NA,NA,NA,NA
University Of Southern California,18 Apr 2019,Wait listed,2019-04-18,Thursday,English,PhD,NA,NA,NA,NA
University Of Southern California,18 Apr 2019,Rejected,2019-04-18,Thursday,English,PhD,NA,NA,NA,NA
Bucknell University,18 Apr 2019,Accepted,2019-04-17,Wednesday,English,Masters,3.75,166,150,5
Ohio University (Athens),18 Apr 2019,Accepted,2019-04-04,Thursday,English (Rhet./Comp.),PhD,NA,NA,NA,NA
University Of British Columbia,17 Apr 2019,Rejected,2019-04-18,Thursday,English,Masters,NA,NA,NA,NA
University Of British Columbia,17 Apr 2019,Rejected,2019-04-17,Wednesday,English,Masters,3.9,164,156,6
SUNY Stony Brook,17 Apr 2019,Accepted,2019-04-17,Wednesday,English,PhD,NA,NA,NA,NA
George Washington University,17 Apr 2019,Rejected,2019-04-17,Wednesday,English,PhD,NA,NA,NA,NA
University Of Pennsylvania,16 Apr 2019,Accepted,2019-04-15,Monday,English,PhD,NA,NA,NA,NA
George Washington University,16 Apr 2019,Other,2019-04-16,Tuesday,English,PhD,NA,NA,NA,NA
"University Of California, Davis",16 Apr 2019,Accepted,2019-04-16,Tuesday,English,PhD,NA,167,148,5.5
Columbia University,16 Apr 2019,Accepted,2019-04-16,Tuesday,English,Masters,NA,NA,NA,NA
George Washington University,15 Apr 2019,Other,2019-04-15,Monday,English,Masters,NA,NA,NA,NA
University Of Connecticut (UConn),15 Apr 2019,Accepted,2019-04-15,Monday,English,PhD,NA,NA,NA,NA
University Of Florida,14 Apr 2019,Accepted,2019-04-14,Sunday,English,PhD,NA,NA,NA,NA
University Of Cincinnati,13 Apr 2019,Accepted,2019-04-10,Wednesday,English And Comparative Literature,PhD,NA,NA,NA,NA
University Of Connecticut (UConn),13 Apr 2019,Accepted,2019-04-11,Thursday,English,Masters,3.8,160,149,5.5
University Of Mississippi,13 Apr 2019,Accepted,2019-03-03,Sunday,English,PhD,NA,165,160,4.5
University Of Southern California,13 Apr 2019,Rejected,2019-04-13,Saturday,English,PhD,NA,NA,NA,NA
Tufts University,12 Apr 2019,Rejected,2019-04-13,Saturday,English,PhD,NA,NA,NA,NA
Washington State University,12 Apr 2019,Wait listed,2019-04-13,Saturday,English,PhD,NA,NA,NA,NA
Brandeis University,12 Apr 2019,Rejected,2019-04-12,Friday,English,PhD,NA,NA,NA,NA
Washington State University,12 Apr 2019,Accepted,2019-04-11,Thursday,English,PhD,NA,NA,NA,NA
SUNY Albany,12 Apr 2019,Accepted,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
Arizona State University,11 Apr 2019,Accepted,2019-04-10,Wednesday,English,PhD,NA,NA,NA,NA
University Of Virginia,11 Apr 2019,Accepted,2019-04-09,Tuesday,English,PhD,3.83,170,161,5.5
"University Of Arizona, Tucson",11 Apr 2019,Rejected,2019-04-10,Wednesday,English Literature,PhD,NA,NA,NA,NA
Washington University In St. Louis (WashU/WUSTL),11 Apr 2019,Accepted,2019-04-10,Wednesday,English,PhD,3.2,167,169,4
UC Santa Barbara,10 Apr 2019,Rejected,2019-04-10,Wednesday,English,PhD,NA,NA,NA,NA
Purdue University,10 Apr 2019,Rejected,2019-04-10,Wednesday,English Literature,Masters,4,163,154,5
Purdue University,10 Apr 2019,Rejected,2019-04-10,Wednesday,English,PhD,NA,NA,NA,NA
"University Of Alabama, Tuscaloosa",10 Apr 2019,Accepted,2019-04-09,Tuesday,"English, CRES",PhD,NA,NA,NA,NA
University Of Toronto,9 Apr 2019,Rejected,2019-04-10,Wednesday,English,Masters,3.96,166,151,6
Fordham University,9 Apr 2019,Accepted,2019-04-09,Tuesday,English,Masters,3.75,162,153,5
Penn State University,8 Apr 2019,Wait listed,2019-04-08,Monday,English,PhD,NA,NA,NA,NA
Boston University,8 Apr 2019,Wait listed,2019-04-08,Monday,English,Masters,NA,NA,NA,NA
Boston University,8 Apr 2019,Rejected,2019-04-08,Monday,English,PhD,3.75,162,153,5
Penn State University,8 Apr 2019,Accepted,2019-04-08,Monday,English,Masters,NA,NA,NA,NA
University Of Oregon,8 Apr 2019,Other,2019-04-08,Monday,English,PhD,NA,NA,NA,NA
Emory University,7 Apr 2019,Rejected,2019-03-31,Sunday,English,PhD,NA,167,164,5
University Of North Carolina Chapel Hill (UNC),7 Apr 2019,Accepted,2019-04-06,Saturday,English - Rhetoric,PhD,NA,NA,NA,NA
University Of Toronto,6 Apr 2019,Rejected,2019-04-05,Friday,English In Field Of Creative Writing,Masters,NA,NA,NA,NA
Penn State (Pennsylvania State University),5 Apr 2019,Rejected,2019-04-06,Saturday,English,Masters,NA,NA,NA,NA
