institution,date_added,decision,decision_date,decision_day,program,degree,gpa,gre_verbal,gre_quant,gre_awa
Hankuk University,16 Oct 2019,Other,2019-10-16,Wednesday,Applied Statistics,PhD,NA,NA,NA,NA
University Of Illinois,19 Sep 2019,Other,2019-09-19,Thursday,Statistics,Masters,NA,NA,NA,NA
University Of Western Ontario,7 Jul 2019,Rejected,2019-07-04,Thursday,Statistics,PhD,NA,NA,NA,NA
Worcester Polytechnic Institute,2 Jul 2019,Accepted,2019-01-01,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
Georgia Institute Of Technology (Gatech Georgia Tech),25 Jun 2019,Other,2019-06-25,Tuesday,Statistics,Masters,NA,NA,NA,NA
Georgia Tecj,25 Jun 2019,Other,2019-06-25,Tuesday,Statistics,Masters,NA,NA,NA,NA
Cornell University,16 Jun 2019,Other,2019-06-16,Sunday,Applied Statistics,Masters,3.4,170,158,3.5
Cornell University,12 Jun 2019,Rejected,2019-06-10,Monday,Applied Statistics,Masters,3.53,155,170,3.5
University Of Texas At Dallas,10 Jun 2019,Accepted,2019-04-26,Friday,Applied Statistics,Masters,NA,NA,NA,NA
Cornell University,10 Jun 2019,Rejected,2019-06-10,Monday,Master Of Statistics,Masters,NA,NA,NA,NA
Cornell University,3 Jun 2019,Other,2019-06-03,Monday,Applied Statistics,Masters,NA,NA,NA,NA
Cornell University,3 Jun 2019,Other,2019-06-03,Monday,Applied Statistics,Masters,NA,NA,NA,NA
Iowa State University,29 May 2019,Wait listed,2019-05-29,Wednesday,Statistics,PhD,NA,164,170,5
ETH Zurich,29 May 2019,Accepted,2019-05-18,Saturday,Statistics,Masters,4,154,159,3.5
Iowa State University,28 May 2019,Other,2019-05-28,Tuesday,Statistics,Masters,NA,NA,NA,NA
University Of Waterloo,22 May 2019,Accepted,2019-05-23,Thursday,Statistics,PhD,3.55,157,170,4
"University Of Californa, Los Angeles (UCLA)",21 May 2019,Accepted,2019-05-21,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",21 May 2019,Accepted,2019-05-22,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
ETH Zurich,21 May 2019,Accepted,2019-05-21,Tuesday,Statistics,Masters,NA,NA,NA,NA
University Of Waterloo,17 May 2019,Rejected,2019-05-17,Friday,Statistics,PhD,NA,NA,NA,NA
ETH Zurich,17 May 2019,Rejected,2019-05-17,Friday,Statistics,Masters,NA,NA,NA,NA
University Of Victoria,16 May 2019,Rejected,2019-05-16,Thursday,Statistics,Masters,NA,NA,NA,NA
Cornell University,14 May 2019,Other,2019-05-14,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
Cornell University,13 May 2019,Wait listed,2019-05-14,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
Cornell University,13 May 2019,Other,2019-05-13,Monday,Applied Statistics,Masters,NA,NA,NA,NA
Cambridge University,11 May 2019,Accepted,2019-04-17,Wednesday,"MASt In Mathematical Statistics, Part Iii",Masters,3.73,169,155,3.5
Colorado State University,8 May 2019,Rejected,2019-05-08,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Virginia,8 May 2019,Accepted,2019-05-09,Thursday,Statistics,Masters,NA,NA,NA,NA
Cornell University,8 May 2019,Other,2019-05-08,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
Wake Forest University,8 May 2019,Rejected,2019-05-08,Wednesday,Statistics,Masters,NA,NA,NA,NA
Cornell University,8 May 2019,Other,2019-05-08,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Western Ontario,7 May 2019,Other,2019-05-07,Tuesday,Statistics,PhD,NA,NA,NA,NA
Columbia University GSAS,5 May 2019,Other,2019-05-05,Sunday,Statistics,Masters,NA,NA,NA,NA
University Of Toronto,4 May 2019,Accepted,2019-03-20,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Waterloo,4 May 2019,Other,2019-05-04,Saturday,Statistics,PhD,NA,NA,NA,NA
UMass-Amherst,30 Apr 2019,Rejected,2019-04-30,Tuesday,Statistics,Masters,NA,NA,NA,NA
York University,29 Apr 2019,Rejected,2019-04-29,Monday,Statistics,Masters,NA,NA,NA,NA
"University Of Massachusetts, Amherst",29 Apr 2019,Accepted,2019-04-29,Monday,Statistics,Masters,NA,NA,NA,NA
Columbia University,26 Apr 2019,Accepted,2019-04-23,Tuesday,Statistics,Masters,3.72,167,170,4.5
Columbia University,25 Apr 2019,Accepted,2019-04-23,Tuesday,Statistics,Masters,NA,168,168,5
"University Of Californa, Los Angeles (UCLA)uc",24 Apr 2019,Wait listed,2019-04-24,Wednesday,Applied Statistics,Masters,3.42,157,167,0
"University of California, Los Angeles",24 Apr 2019,Accepted,2019-04-23,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
UMass-Amherst,24 Apr 2019,Other,2019-04-24,Wednesday,Statistics,Masters,NA,NA,NA,NA
UMass-Amherst,24 Apr 2019,Rejected,2019-04-22,Monday,Statistics,PhD,NA,NA,NA,NA
UMass-Amherst,24 Apr 2019,Rejected,2019-04-24,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Massachusetts Amherst,24 Apr 2019,Rejected,2019-04-24,Wednesday,Statistics,PhD,NA,NA,NA,NA
"University Of California, Los Angeles",24 Apr 2019,Accepted,2019-04-23,Tuesday,Applied Statistics,Masters,NA,155,169,4
"University Of Californa, Los Angeles (UCLA)",23 Apr 2019,Wait listed,2019-04-23,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
University College London (UCL),23 Apr 2019,Accepted,2019-04-23,Tuesday,Computational Statistics And Machine Learning,Masters,NA,NA,NA,NA
University Of Toronto,23 Apr 2019,Rejected,2019-04-23,Tuesday,Statistics,PhD,NA,NA,NA,NA
Rice University,20 Apr 2019,Rejected,2019-04-19,Friday,Statistics,PhD,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",19 Apr 2019,Accepted,2019-03-26,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
Penn State University (PSU),19 Apr 2019,Other,2019-04-19,Friday,Applied Statistics,Masters,NA,NA,NA,NA
George Washington University,19 Apr 2019,Accepted,2019-04-15,Monday,Statistics,Masters,NA,NA,NA,NA
Oregon State University,19 Apr 2019,Accepted,2019-04-18,Thursday,Statistics,Masters,3.71,162,167,3.5
Penn State University,18 Apr 2019,Other,2019-04-19,Friday,Applied Statistics,Masters,NA,NA,NA,NA
Penn State University (PSU),18 Apr 2019,Other,2019-04-18,Thursday,Applied Statistics,Masters,NA,NA,NA,NA
Penn State (Pennsylvania State University),18 Apr 2019,Accepted,2019-04-15,Monday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Michigan,17 Apr 2019,Rejected,2019-04-15,Monday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Michigan,17 Apr 2019,Rejected,2019-04-16,Tuesday,Statistics,Masters,3.78,170,158,4
University Of Washington,17 Apr 2019,Rejected,2019-04-17,Wednesday,Statistics,Masters,NA,NA,NA,NA
University Of North Carolina Chapel Hill (UNC),17 Apr 2019,Rejected,2019-04-18,Thursday,Statistics And Operations Research,PhD,2.85,160,166,4
University Of Virginia,17 Apr 2019,Rejected,2019-04-17,Wednesday,Statistics,PhD,3.37,160,166,4
University Of Toronto,17 Apr 2019,Other,2019-04-17,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Toronto,17 Apr 2019,Other,2019-04-17,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Toronto,17 Apr 2019,Rejected,2019-04-17,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
Northwestern University,17 Apr 2019,Rejected,2019-04-17,Wednesday,Statistics,PhD,NA,NA,NA,NA
Simon Fraser University,17 Apr 2019,Rejected,2019-04-17,Wednesday,Statistics,Masters,NA,NA,NA,NA
University Of Guelph,17 Apr 2019,Accepted,2019-03-06,Wednesday,Statistics,Masters,NA,NA,NA,NA
University Of Pittsburgh,15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,Masters,NA,NA,NA,NA
Columbia University,15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,PhD,NA,NA,NA,NA
"University Of Illinois, Urbana-Champaign (UIUC)",15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,Masters,3.2,158,165,3.5
University Of Illinois,15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,Masters,3.01,170,165,5
"University Of Illinois, Urbana Champaign (UIUC)",15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,Masters,NA,152,166,3
"University Of Massachusetts, Amherst",15 Apr 2019,Other,2019-04-15,Monday,Statistics,PhD,NA,NA,NA,NA
UMass-Amherst,15 Apr 2019,Other,2019-04-15,Monday,Statistics,PhD,NA,NA,NA,NA
University Of Wisconsin-Madison,15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,PhD,NA,NA,NA,NA
University Of Michigan,15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,PhD,NA,NA,NA,NA
University Of Notre Dame,15 Apr 2019,Rejected,2019-04-14,Sunday,Applied And Computational Mathematics And Statistics,PhD,NA,NA,NA,NA
University Of Michigan,14 Apr 2019,Wait listed,2019-04-14,Sunday,Statistics,PhD,NA,NA,NA,NA
"University Of California, Riverside",14 Apr 2019,Accepted,2019-01-22,Tuesday,Applied Statistics,PhD,3.53,159,163,4
University Of North Carolina Chapel Hill (UNC),14 Apr 2019,Other,2019-04-14,Sunday,Statistics,PhD,NA,NA,NA,NA
ALL Grad School,14 Apr 2019,Wait listed,2019-04-14,Sunday,Statistics,PhD,NA,NA,NA,NA
NCSU (North Carolina State University),14 Apr 2019,Other,2019-04-14,Sunday,Statistics,PhD,NA,NA,NA,NA
University Of Michigan,13 Apr 2019,Other,2019-04-14,Sunday,Statistics,PhD,NA,NA,NA,NA
"University Of California, Davis",13 Apr 2019,Accepted,2019-04-13,Saturday,Statistics,Masters,4,148,162,4.5
University Of Michigan,13 Apr 2019,Wait listed,2019-04-13,Saturday,Statistics,PhD,NA,NA,NA,NA
University Of Pennsylvania,13 Apr 2019,Rejected,2019-04-12,Friday,Statistics,PhD,NA,NA,NA,NA
